season,teams_expected,teams_available,roster_completeness,stats_completeness,rating_confidence_average,percent_players_needs_review,percent_players_generated_low_confidence,percent_players_with_fallback_rating,recommended_status
1965,22,22,100,0,0.34,6.1,100,10.3,legacy_bio_only
1966,24,24,100,0,0.34,6.5,100,10.4,legacy_bio_only
1967,25,25,100,0,0.33,5.8,100,10.8,legacy_bio_only
1968,26,26,100,0,0.34,6.2,100,11.8,legacy_bio_only
1969,26,26,100,0,0.34,6.1,100,10.8,legacy_bio_only
1970,26,26,100,0,0.34,5.6,100,10.9,legacy_bio_only
1971,26,26,100,0,0.34,5.7,100,11.7,legacy_bio_only
1972,26,26,100,2.4,0.35,6.3,97.6,11.2,legacy_bio_only
1973,26,26,100,0,0.34,5.5,100,11.4,legacy_bio_only
1974,26,26,100,0,0.34,6.2,100,11.6,legacy_bio_only
1975,26,26,100,0,0.34,6.2,100,11.5,legacy_bio_only
1976,28,28,100,0,0.34,5.9,100,11.1,legacy_bio_only
1977,28,28,100,0,0.34,6.1,99.9,11.8,legacy_bio_only
1978,28,28,100,2.3,0.35,6.4,97.7,11.4,legacy_bio_only
1979,28,28,100,0,0.34,5.7,100,11.5,legacy_bio_only
1980,28,28,100,0,0.34,6,99.9,11.2,legacy_bio_only
1981,28,28,100,0,0.34,5.6,99.9,11.6,legacy_bio_only
1982,28,28,100,0,0.34,5.5,99.9,11.4,legacy_bio_only
1983,28,28,100,0,0.34,5.6,99.9,11.3,legacy_bio_only
1984,28,28,100,0,0.34,5.7,99.9,11.2,legacy_bio_only
1985,28,28,100,1.6,0.35,6.5,98.1,11.3,legacy_bio_only
1986,28,28,100,0,0.34,5.7,99.7,10.9,legacy_bio_only
1987,28,28,100,0,0.43,2.5,99.8,15.1,legacy_bio_only
1988,28,28,100,0,0.34,5.8,99.6,11.4,legacy_bio_only
1989,28,28,100,2,0.35,6.1,97.5,10.6,legacy_bio_only
1990,28,28,100,0,0.34,5.4,99.4,10.9,legacy_bio_only
1991,28,28,100,0,0.34,5.8,99.4,11,legacy_bio_only
1992,28,28,100,0,0.34,5.9,99.4,10.2,legacy_bio_only
1993,28,28,100,0,0.34,5.6,99.4,10.4,legacy_bio_only
1994,28,28,100,0,0.34,5.6,99.4,10.4,legacy_bio_only
1995,30,30,100,0,0.34,5.6,99.5,10.4,legacy_bio_only
1996,31,30,96.8,1.9,0.35,6.4,97.5,10.1,legacy_bio_only
1997,31,30,96.8,0,0.34,5.6,99.3,10.5,legacy_bio_only
1998,31,30,96.8,0,0.34,5.7,99.3,10.2,legacy_bio_only
1999,31,31,100,28.3,0.46,0.7,72.4,12.8,include_usable
2000,31,31,100,27.6,0.46,0.6,73.5,12.6,include_usable
2001,31,31,100,26.1,0.46,0.1,74.9,13.7,include_usable
2002,32,32,100,32.4,0.53,0.1,68.7,22.1,include_usable
2003,32,32,100,34.2,0.53,0.1,67.4,23.6,include_usable
2004,32,32,100,34.9,0.53,0.1,66.4,22.2,include_usable
2005,32,32,100,34.3,0.54,0,66.8,23.2,include_usable
2006,32,32,100,34.2,0.54,0.3,66.9,22.9,include_usable
2007,32,32,100,36.2,0.54,0.7,64.9,21.7,include_usable
2008,32,32,100,34.5,0.53,0.3,66.3,22.5,include_usable
2009,32,32,100,34.9,0.54,0.1,66.3,23,include_usable
2010,32,32,100,35.3,0.54,0.3,66.1,21.6,include_usable
2011,32,32,100,35.3,0.54,0.1,66.4,22.6,include_usable
2012,32,32,100,35.5,0.54,0.1,65.7,22.6,include_usable
2013,32,32,100,36.6,0.54,1,64.6,22.3,include_usable
2014,32,32,100,35.3,0.54,0.1,66.3,20.9,include_usable
2015,32,32,100,35.6,0.54,0.2,65.4,20.4,include_usable
2016,32,32,100,21.7,0.5,0.2,79.2,17.4,include_usable
2017,32,32,100,26.1,0.51,0.1,75.2,20,include_usable
2018,32,32,100,28,0.52,0.8,73.7,20.3,include_usable
2019,32,32,100,26.8,0.52,0.1,74.5,19.9,include_usable
2020,32,32,100,27,0.52,0.9,74.3,18,include_usable
2021,32,32,100,26.8,0.52,0,74.5,18.1,include_usable
2022,32,32,100,25.6,0.51,0,75.1,18.9,include_usable
2023,32,32,100,26.2,0.52,0.5,74.9,18.2,include_usable
2024,32,32,100,25.5,0.51,0,75.7,17.4,include_usable
