player_id,name,team_code,season,position,current_overall,reason_flagged,recommended_next_step
bill-nelsen,Bill Nelsen,PIT,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
tommy-wade,Tommy Wade,PIT,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-mira,George Mira,SF,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bill-munson,Bill Munson,STL,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
billy-lothridge,Billy Lothridge,STL,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
ron-smith,Ron Smith,STL,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
terry-baker,Terry Baker,STL,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
don-trull,Don Trull,TEN,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-blanda,George Blanda,TEN,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dick-shiner,Dick Shiner,WAS,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1965,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
norm-snead,Norm Snead,PHI,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bill-nelsen,Bill Nelsen,PIT,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-izo,George Izo,PIT,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
ron-meyer,Ron Meyer,PIT,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
ron-smith,Ron Smith,PIT,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
billy-kilmer,Billy Kilmer,SF,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-mira,George Mira,SF,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bill-munson,Bill Munson,STL,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
buddy-humphrey,Buddy Humphrey,TEN,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
don-trull,Don Trull,TEN,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-blanda,George Blanda,TEN,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jacky-lee,Jacky Lee,TEN,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dick-shiner,Dick Shiner,WAS,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1966,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
king-hill,King Hill,PHI,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
norm-snead,Norm Snead,PHI,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bill-nelsen,Bill Nelsen,PIT,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
kent-nix,Kent Nix,PIT,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
rich-badar,Rich Badar,PIT,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-mira,George Mira,SF,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
steve-spurrier,Steve Spurrier,SF,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bill-munson,Bill Munson,STL,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
billy-anderson,Billy Anderson,TEN,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-davis,Bob Davis,TEN,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
pete-beathard,Pete Beathard,TEN,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jim-ninowski,Jim Ninowski,WAS,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
sonny-jurgensen,Sonny Jurgensen,WAS,1967,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
babe-parilli,Babe Parilli,NYJ,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
joe-namath,Joe Namath,NYJ,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-huarte,John Huarte,PHI,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
norm-snead,Norm Snead,PHI,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
dick-shiner,Dick Shiner,PIT,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
kent-nix,Kent Nix,PIT,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
george-mira,George Mira,SF,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
john-brodie,John Brodie,SF,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
milt-plum,Milt Plum,STL,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
roman-gabriel,Roman Gabriel,STL,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
bob-davis,Bob Davis,TEN,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
don-trull,Don Trull,TEN,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
pete-beathard,Pete Beathard,TEN,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
gary-beban,Gary Beban,WAS,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
harry-theofiledes,Harry Theofiledes,WAS,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
jim-ninowski,Jim Ninowski,WAS,1968,QB,72,"Starting-QB-critical, rated on a position prior only: no recorded starts, box score, or experience, and the QB room had no signal to tell starter from backup.",Designate the season's starter (add games_started) or add a manual override if this is a known starter/legend.
