team_season,severity,rule,detail
1965_ARI,WARN,generic_roster,65% of roster in the 67-71 generic band
1965_BUF,WARN,generic_roster,67% of roster in the 67-71 generic band
1966_ARI,WARN,generic_roster,67% of roster in the 67-71 generic band
1966_ATL,WARN,generic_roster,64% of roster in the 67-71 generic band
1967_ARI,WARN,generic_roster,70% of roster in the 67-71 generic band
1967_ATL,WARN,generic_roster,56% of roster in the 67-71 generic band
1967_BUF,WARN,generic_roster,58% of roster in the 67-71 generic band
1968_ARI,WARN,generic_roster,78% of roster in the 67-71 generic band
1968_ATL,WARN,generic_roster,65% of roster in the 67-71 generic band
1968_BUF,WARN,generic_roster,52% of roster in the 67-71 generic band
1969_ARI,WARN,generic_roster,72% of roster in the 67-71 generic band
1969_ATL,WARN,generic_roster,64% of roster in the 67-71 generic band
1970_ARI,WARN,generic_roster,82% of roster in the 67-71 generic band
1970_ATL,WARN,generic_roster,65% of roster in the 67-71 generic band
1970_BUF,WARN,generic_roster,55% of roster in the 67-71 generic band
1971_ARI,WARN,generic_roster,76% of roster in the 67-71 generic band
1971_ATL,WARN,generic_roster,71% of roster in the 67-71 generic band
1971_BUF,WARN,generic_roster,52% of roster in the 67-71 generic band
1972_ARI,WARN,generic_roster,80% of roster in the 67-71 generic band
1972_ATL,WARN,generic_roster,67% of roster in the 67-71 generic band
1972_MIA,WARN,inflated_qb,Earl Morrall QB 91 is 90+ with status=generated_high_confidence (no manual override)
1973_ARI,WARN,generic_roster,81% of roster in the 67-71 generic band
1973_ATL,WARN,generic_roster,59% of roster in the 67-71 generic band
1973_BUF,WARN,generic_roster,60% of roster in the 67-71 generic band
1974_ARI,WARN,generic_roster,85% of roster in the 67-71 generic band
1974_ATL,WARN,generic_roster,64% of roster in the 67-71 generic band
1974_BUF,WARN,generic_roster,60% of roster in the 67-71 generic band
1975_ARI,WARN,generic_roster,84% of roster in the 67-71 generic band
1975_ATL,WARN,generic_roster,54% of roster in the 67-71 generic band
1975_BUF,WARN,generic_roster,56% of roster in the 67-71 generic band
1976_ARI,WARN,generic_roster,77% of roster in the 67-71 generic band
1976_ATL,WARN,generic_roster,64% of roster in the 67-71 generic band
1977_ARI,WARN,generic_roster,63% of roster in the 67-71 generic band
1977_ATL,WARN,generic_roster,60% of roster in the 67-71 generic band
1977_BUF,WARN,generic_roster,63% of roster in the 67-71 generic band
1978_ARI,WARN,generic_roster,81% of roster in the 67-71 generic band
1978_ATL,WARN,generic_roster,66% of roster in the 67-71 generic band
1978_BUF,WARN,generic_roster,52% of roster in the 67-71 generic band
1978_PIT,WARN,inflated_qb,Terry Bradshaw QB 99 is 90+ with status=manually_reviewed (no manual override)
1979_ARI,WARN,generic_roster,70% of roster in the 67-71 generic band
1979_ATL,WARN,generic_roster,67% of roster in the 67-71 generic band
1979_BUF,WARN,generic_roster,57% of roster in the 67-71 generic band
1980_ARI,WARN,generic_roster,84% of roster in the 67-71 generic band
1980_ATL,WARN,generic_roster,71% of roster in the 67-71 generic band
1981_ARI,WARN,generic_roster,78% of roster in the 67-71 generic band
1981_ATL,WARN,generic_roster,53% of roster in the 67-71 generic band
1982_ARI,WARN,generic_roster,76% of roster in the 67-71 generic band
1982_ATL,WARN,generic_roster,58% of roster in the 67-71 generic band
