priority,player_id,name,team_code,season,position,current_overall,suggested_overall,issue,data_needed,confidence
1,shaquil-barrett,Shaquil Barrett,TB,2020,EDGE,88,,Defensive slot rated 88 on medium-confidence evidence: no recorded starts/box score to confirm a rating this high.,Recorded starts or box score (sacks/INT/tackles); a manual override for a known starter. Otherwise accept as provisional.,medium
1,vita-vea,Vita Vea,TB,2020,DT,88,,Defensive slot rated 88 on medium-confidence evidence: no recorded starts/box score to confirm a rating this high.,Recorded starts or box score (sacks/INT/tackles); a manual override for a known starter. Otherwise accept as provisional.,medium
1,chris-jones,Chris Jones,KC,2018,DT,89,,Defensive slot rated 89 on medium-confidence evidence: no recorded starts/box score to confirm a rating this high.,Recorded starts or box score (sacks/INT/tackles); a manual override for a known starter. Otherwise accept as provisional.,medium
1,kevin-carter,Kevin Carter,STL,1999,EDGE,89,,Defensive slot rated 89 on medium-confidence evidence: no recorded starts/box score to confirm a rating this high.,Recorded starts or box score (sacks/INT/tackles); a manual override for a known starter. Otherwise accept as provisional.,medium
1,brandon-aiyuk,Brandon Aiyuk,SF,2023,WR,88,,Skill player rated 88 on medium-confidence evidence: no box-score production on file to confirm a rating this high.,Box-score stats or recorded starts; a manual override for a known contributor. Otherwise accept as provisional.,medium
1,deebo-samuel,Deebo Samuel,SF,2023,WR,88,,Skill player rated 88 on medium-confidence evidence: no box-score production on file to confirm a rating this high.,Box-score stats or recorded starts; a manual override for a known contributor. Otherwise accept as provisional.,medium
1,chris-godwin,Chris Godwin,TB,2020,WR,88,,Skill player rated 88 on medium-confidence evidence: no box-score production on file to confirm a rating this high.,Box-score stats or recorded starts; a manual override for a known contributor. Otherwise accept as provisional.,medium
1,steve-mcmichael,Steve McMichael,CHI,1985,DT,88,,Defensive slot rated 88 on medium-confidence evidence: no recorded starts/box score to confirm a rating this high.,Recorded starts or box score (sacks/INT/tackles); a manual override for a known starter. Otherwise accept as provisional.,medium
1,torry-holt,Torry Holt,STL,1999,WR,88,,Skill player rated 88 on medium-confidence evidence: no box-score production on file to confirm a rating this high.,Box-score stats or recorded starts; a manual override for a known contributor. Otherwise accept as provisional.,medium
1,tristan-wirfs,Tristan Wirfs,TB,2020,RT,88,,RT rated 88 on medium-confidence evidence: no recorded starts/stats to confirm a rating this high.,"Any recorded starts, box score, or awards; a manual override if a notable starter.",medium
1,mitchell-schwartz,Mitchell Schwartz,KC,2018,RT,89,,RT rated 89 on medium-confidence evidence: no recorded starts/stats to confirm a rating this high.,"Any recorded starts, box score, or awards; a manual override if a notable starter.",medium
1,jimbo-covert,Jimbo Covert,CHI,1985,LT,88,,LT rated 88 on medium-confidence evidence: no recorded starts/stats to confirm a rating this high.,"Any recorded starts, box score, or awards; a manual override if a notable starter.",medium
