team_code,team_name,season,issue_found,players_total,players_with_67_to_71_before,players_with_67_to_71_after,average_ovr_before,average_ovr_after,max_ovr_before,max_ovr_after,rating_spread_before,rating_spread_after,root_cause,fix_applied,still_needs_review
BUF,Buffalo Bills,1992,98.2% of roster stuck in the 67-71 generic band; 42.9% sharing one rating (67); compressed spread (6); no player >=80 (top 73),56,55,28,68,72.4,73,97,6,26,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Bruce Smith.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
CAR,Carolina Panthers,1995,100% of roster stuck in the 67-71 generic band; 43.8% sharing one rating (68); compressed spread (3); no player >=80 (top 70),64,64,25,67.8,71.8,70,74,3,3,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
CAR,Carolina Panthers,1967,impossible team-season: franchise did not exist this season (Carolina Panthers' first NFL season is 1995),0,,,,,,,,,Invalid franchise->season mapping: an expansion team referenced ~28 years before it existed. The pre-fix pipeline had no franchise-existence guard.,Built validate-team-seasons.mjs (franchise-existence guard: rejects any season < first_season or > last_season). Confirmed no such row exists in team_seasons.csv — full registry scans 0 invalid mappings.,no — verified absent from the dataset
PIT,Pittsburgh Steelers,1995,94.7% of roster stuck in the 67-71 generic band; 47.4% sharing one rating (70); compressed spread (6); no player >=80 (top 74),57,54,0,70.4,75.4,74,95,6,22,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Rod Woodson.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
MIN,Minnesota Vikings,1999,64.4% of roster stuck in the 67-71 generic band,59,38,3,70.2,72.5,89,95,34,45,"Engine over-compression: rate-stats had no volume floor and defense/OL evidence was under-weighted, so rankable players were flattened into the 67-71 band while a few volume compilers were inflated.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: John Randle, Chris Doleman.",no
PHI,Philadelphia Eagles,1988,92.3% of roster stuck in the 67-71 generic band; 61.5% sharing one rating (70); compressed spread (6); no player >=80 (top 74),52,48,0,70.2,75.5,74,98,6,25,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Reggie White.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
SF,San Francisco 49ers,1976,89.1% of roster stuck in the 67-71 generic band; compressed spread (6); no player >=80 (top 74),46,41,0,70.3,75.1,74,81,6,8,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
LV,Las Vegas Raiders,1986,98% of roster stuck in the 67-71 generic band; 56.9% sharing one rating (69); compressed spread (7); no player >=80 (top 74),51,50,0,69.3,73.6,74,81,7,9,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
PHI,Philadelphia Eagles,1985,96.2% of roster stuck in the 67-71 generic band; 54.7% sharing one rating (70); compressed spread (6); no player >=80 (top 74),53,51,0,70.2,75.2,74,98,6,25,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Reggie White.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
DAL,Dallas Cowboys,1994,100% of roster stuck in the 67-71 generic band; 54.5% sharing one rating (68); compressed spread (3); no player >=80 (top 70),55,55,5,68.5,72.8,70,96,3,25,"Era data gap + signal starvation: the source carries bio rows but little per-game evidence for depth/defense/OL, so the pre-fix engine collapsed the unrankable majority onto the 67-71 fallback and could not separate the roster.","Engine rebuilt — role-tier priors, within-roster depth ranking, era-relative percentile, and position-specific grading (OL/EDGE/DT/LB/CB/S/K/P graded without offensive box scores); fallback now role-graded 55-92 carrying rating_source/confidence/reason/needs_manual_review. Curated overrides: Larry Allen.",no — residual flatness is the documented pre-1999 data gap (bio-only depth)
